Body (HTML),Collection,Cost per item,Discount,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Product Category,Published,Status,Title,Variant Barcode,Variant Inventory Qty,Variant Inventory Tracker,Variant Price,Variant Weight Unit,Vendor,tags
"<p>The acclaimed national and international bestseller ""Epic, romantic, and enthralling from start to finish.""--Stephanie Garber, #1 New York Times bestselling author of the Caraval series ""An all-consuming work of literary fantasy that is breathtaking both for its beauty and its suspense.""--BookPage, starred review A captivating and romantic debut epic fantasy inspired by the legend of the Chinese moon goddess, Chang'e, in which a young woman's quest to free her mother pits her against the most powerful immortal in the realm</p><p>Growing up on the moon, Xingyin is accustomed to solitude, unaware that she is being hidden from the feared Celestial Emperor who exiled her mother for stealing his elixir of immortality</p><p>But when Xingyin's magic flares and her existence is discovered, she is forced to flee her home, leaving her mother behind</p><p>Alone, powerless, and afraid, she makes her way to the Celestial Kingdom, a land of wonder and secrets</p><p>Disguising her identity, she seizes an opportunity to learn alongside the emperor's son, mastering archery and magic, even as passion flames between her and the prince</p><p>To save her mother, Xingyin embarks on a perilous quest, confronting legendary creatures and vicious enemies</p><p>But when treachery looms and forbidden magic threatens the kingdom, she must challenge the ruthless Celestial Emperor for her dream--striking a dangerous bargain in which she is torn between losing all she loves or plunging the realm into chaos</p><p>Daughter of the Moon Goddess begins an enchanting duology which weaves ancient Chinese mythology into a sweeping adventure of immortals and magic, of loss and sacrifice--where love vies with honor, dreams are fraught with betrayal, and hope emerges triumphant.</p>",Shop All Books,10.79,40,https://covers.openlibrary.org/b/isbn/9780063031319-L.jpg,Author,"Tan, Sue Lynn",Binding,Paperback,Publisher,Harper Voyager,Media > Books,TRUE,active,Daughter of the Moon Goddess: A Fantasy Romance Novel,9780063031319,1,shopify,17.99,lb,INGRAM,Fiction
"<p>The stunning sequel to Daughter of the Moon Goddess delves deeper into beloved Chinese mythology, concluding the epic story of Xingyin--the daughter of Chang'e and the mortal archer, Houyi--as she battles a grave new threat to the realm, in this powerful tale of love, sacrifice, and hope</p><p>After winning her mother's freedom from the Celestial Emperor, Xingyin thrives in the enchanting tranquility of her home</p><p>But her fragile peace is threatened by the discovery of a strange magic on the moon and the unsettling changes in the Celestial Kingdom as the emperor tightens his grip on power</p><p>While Xingyin is determined to keep clear of the rising danger, the discovery of a shocking truth spurs her into a perilous confrontation</p><p>Forced to flee her home once more, Xingyin and her companions venture to unexplored lands of the Immortal Realm, encountering legendary creatures and shrewd monarchs, beloved friends and bitter adversaries</p><p>With alliances shifting quicker than the tides, Xingyin has to overcome past grudges and enmities to forge a new path forward, seeking aid where she never imagined she would</p><p>As an unspeakable terror sweeps across the realm, Xingyin must uncover the truth of her heart and claw her way through devastation--to rise against this evil before it destroys everything she holds dear, and the worlds she has grown to love </p><p>even if doing so demands the greatest price of all.</p>",Shop All Books,11.99,40,https://covers.openlibrary.org/b/isbn/9780063031371-L.jpg,Author,"Tan, Sue Lynn",Binding,Paperback,Publisher,Harper Voyager,Media > Books,TRUE,active,Heart of the Sun Warrior,9780063031371,1,shopify,19.99,lb,INGRAM,Uncategorized
"<p>Sue Lynn Tan's highly acclaimed, bestselling Celestial Kingdom duology is expanded with this new compilation of stories from before, during, and after the events in Daughter of the Moon Goddess and Heart of the Sun Warrior, all from the perspectives of beloved characters and illustrated by Kelly Chong</p><p>Return to the Immortal Realm, a world of gods, magic, and legendary creatures--and embark upon new adventures of valor, danger, and love</p><p>Tales from the Celestial Kingdom collects nine spellbinding stories--two previously published, seven original, including the epilogue to the duology--set in the enchanting world of Sue Lynn Tan's stunning debut</p><p>Filled with magic and mythology, friendship and love, these stories intertwine through the past, present, and future of the two novels, told from the perspectives of multiple characters, including Chang'e, Shuxiao, Liwei, and Wenzhi</p><p>With beautiful illustrations from Kelly Chong throughout, these wondrous tales make the perfect complement to Sue Lynn Tan's breathtaking series.</p>",Shop All Books,14.99,40,https://covers.openlibrary.org/b/isbn/9780063326699-L.jpg,Author,"Tan, Sue Lynn",Binding,Hardcover,Publisher,Harper Voyager,Media > Books,TRUE,active,Tales of the Celestial Kingdom,9780063326699,1,shopify,24.99,lb,INGRAM,Uncategorized
"<p>From acclaimed fantasy author John Gwynne comes the first in the Bloodsworn trilogy, an epic of wild lands and wilder magic, where not all monsters fight with tooth and claw...and the treasures of the gods come at a price</p><p>This is the age of storm and murder</p><p>After the old gods warred and drove themselves to extinction, the cataclysm of their fall shattered the land of Vigrio</p><p>Now, power-hungry jarls carve out petty kingdoms, and monsters stalk the shadow-haunted woods and mountains</p><p>A world where the bones of the dead gods still hold great power, promising fame and fortune for those brave - or desperate - enough to seek them out</p><p>As whispers of war echo over the plains and across the fjords, fate follows the footsteps of three people: a huntress searching for her missing son, a jarl's daughter who has rejected privilege in pursuit of battle fame, and a thrall who has cast off his chains and now fights alongside the famed mercenaries known as the Bloodsworn</p><p>All three will shape the fate of the world, as it once more teeters on the edge of chaos</p><p>For more from John Gwynne, check out: Of Blood and Bone A Time of Dread A Time of Blood A Time of Courage The Faithful and the Fallen Malice Valor Ruin Wrath</p>",Shop All Books,11.99,40,https://covers.openlibrary.org/b/isbn/9780316539883-L.jpg,Author,"Gwynne, John",Binding,Paperback,Publisher,Orbit,Media > Books,TRUE,active,Shadow of the Gods,9780316539883,1,shopify,19.99,lb,INGRAM,Fiction
"<p>Revolution is brewing in the semi-submerged city of Tiankawi, between humans and the fathomfolk who live in its waters</p><p>This gloriously imaginative debut fantasy, inspired by East Asian mythology and ocean folk tales, is a novel of magic, rebellion and change</p><p>Welcome to Tiankawi - shining pearl of human civilization and a safe haven for those fleeing civil unrest</p><p>Or at least, that's how it first appears</p><p>But in the semi-flooded city, humans are, quite literally, on top: peering down from shining towers and aerial walkways on the fathomfolk - sirens, seawitches, kelpies and kappas - who live in the polluted waters below</p><p>For half-siren Mira, promotion to captain of the border guard means an opportunity to help her downtrodden people</p><p>But if earning the trust and respect of her human colleagues wasn't hard enough, everything Mira has worked towards is put in jeopardy when Nami, a know-it-all water dragon and fathomfolk princess - is exiled to the city, under Mira's watch</p><p>When extremists sabotage a city festival, violence erupts, as does the clampdown on fathomfolk rights</p><p>Both Nami and Mira must decide if the cost of change is worth paying, or if Tiankawi should be left to drown.</p>",Shop All Books,11.99,40,https://covers.openlibrary.org/b/isbn/9780316564922-L.jpg,Author,"Chan, Eliza",Binding,Paperback,Publisher,Orbit,Media > Books,TRUE,active,Fathomfolk,9780316564922,1,shopify,19.99,lb,INGRAM,Fiction
"<p>As war grows more deadly, Violet Sorrengail joins the elite Navarre: the dragon riders</p><p>But she'll need to keep her wits because once you enter the Basgiath War College, there are only two ways out: graduate or die.</p>",Shop All Books,17.99,40,https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg,Author,"Yarros, Rebecca",Binding,Hardcover,Publisher,Entangled: Red Tower Books,Media > Books,TRUE,active,Fourth Wing,9781649374042,3,shopify,29.99,lb,INGRAM,Fiction
