Body (HTML),Collection,Cost per item,Discount,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Product Category,Published,Status,Title,Variant Barcode,Variant Inventory Qty,Variant Inventory Tracker,Variant Price,Variant Weight Unit,Vendor,tags
"<p><strong>#1 NEW YORK TIMES BESTSELLER</strong> A BEST BOOK OF THE YEAR: Washington Post | Maureen Corrigan, NPR | Paste | Seattle Times | Entertainment Weekly | Esquire | Slate | Buzzfeed | Jezebel | Philadelphia Inquirer | Publishers Weekly | Kirkus Reviews | Library Journal | Bustle | Mother Jones | Real Simple | Crime Reads | Book Riot | Bookish | Amazon | Barnes and Noble |Hudson Booksellers New York Public Library | Chicago Public Library Winner of the Goodreads Choice Awards for Nonfiction | SCIBA Book Award Winner | Longlisted for the Carnegie Medal for Excellence The haunting true story of the elusive serial rapist turned murderer who terrorized California during the 70s and 80s, and of the gifted journalist who died tragically while investigating the case—which was solved in April 2018</p><p>Introduction by Gillian Flynn • Afterword by Patton Oswalt “A brilliant genre-buster...</p><p>Propulsive, can’t-stop-now reading.” —Stephen King For more than ten years, a mysterious and violent predator committed fifty sexual assaults in Northern California before moving south, where he perpetrated ten sadistic murders</p><p>Then he disappeared, eluding capture by multiple police forces and some of the best detectives in the area</p><p>Three decades later, Michelle McNamara, a true crime journalist who created the popular website TrueCrimeDiary.com, was determined to find the violent psychopath she called ""the Golden State Killer."" Michelle pored over police reports, interviewed victims, and embedded herself in the online communities that were as obsessed with the case as she was</p><p>I’ll Be Gone in the Dark—the masterpiece McNamara was writing at the time of her sudden death—offers an atmospheric snapshot of a moment in American history and a chilling account of a criminal mastermind and the wreckage he left behind</p><p>It is also a portrait of a woman’s obsession and her unflagging pursuit of the truth</p><p>Utterly original and compelling, it has been hailed as a modern true crime classic—one which fulfilled Michelle's dream: helping unmask the Golden State Killer.</p>",Shop All Books,11.99,40,https://covers.openlibrary.org/b/isbn/9780062319791-L.jpg,Author,"McNamara, Michelle",Binding,Paperback,Publisher,Harper Perennial,Media > Books,TRUE,active,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,9780062319791,1,shopify,19.99,lb,INGRAM,True Crime
"<p>INSTANT NEW YORK TIMES BESTSELLER * A REESE'S BOOK CLUB PICK ""It's perfection, every word, every moment</p><p>A masterpiece </p><p>One of the best books I've ever read."" --Lisa Jewell, #1 New York Times bestselling author ""Absolutely AMAZING</p><p>The plot is astonishing--original and ingenious</p><p>But it's much more than that; the love Jen has for her son and her husband is beautiful</p><p>The stakes are so high because they're so meaningful."" --Marin Keyes, internationally bestselling author ""A brilliantly genre-bending, mind-twisting answer to the question How far would you go to save your child?"" --Ruth Ware, #1 New York Times bestselling author ""Daring, inventive, exhilarating, twisted</p><p>This is virtuoso storytelling</p><p>Please dive in</p><p>It's the right place and the right time."" --A</p><p>J</p><p>Finn, #1 New York Times bestselling author ""A work of such genius it leaves you in awe</p><p>Wrong Place, Wrong Time is impossibly clever, daringly original and heart-rending</p><p>Exceptional."" --Chris Whitaker, New York Times bestselling author of We Begin at the End From UK bestselling author Gillian McAllister comes an astonishing, compulsively twisty psychological thriller about a mother who witnesses her teenage son stab a man and then seizes on an unconventional way to try to save him, deemed ""clever, original, and so addictive it should come with a warning"" by Alice Feeney, bestselling author of Rock Paper Scissors Can you stop a murder after it's already happened? Late October</p><p>After midnight</p><p>You're waiting up for your eighteen-year-old son</p><p>He's past curfew</p><p>As you watch from the window, he emerges, and you realize he isn't alone: he's walking toward a man, and he's armed</p><p>You can't believe it when you see him do it: your funny, happy teenage son, he kills a stranger, right there on the street outside your house</p><p>You don't know who</p><p>You don't know why</p><p>You only know your son is now in custody, his future shattered</p><p>That night you fall asleep in despair</p><p>All is lost</p><p>Until you wake </p><p>and it is yesterday</p><p>And then you wake again </p><p>and it is the day before yesterday</p><p>Every morning you wake up a day earlier, another day before the murder</p><p>With another chance to stop it</p><p>Somewhere in the past lies an answer</p><p>The trigger for this crime--and you don't have a choice but to find it </p><p>""Another ingeniously plotted genre-bender..</p><p>McAllister succeeds in making us care, and the result is a tour de force."" -- The Guardian ""This entertaining look at motherhood and memory will resonate with many."" -- Publishers Weekly</p>",Shop All Books,11.39,40,https://covers.openlibrary.org/b/isbn/9780063252356-L.jpg,Author,"McAllister, Gillian",Binding,Paperback,Publisher,William Morrow & Company,Media > Books,TRUE,active,Wrong Place Wrong Time: A Reese's Book Club Pick,9780063252356,1,shopify,18.99,lb,INGRAM,Fiction
